10/08/2020;450;A;PYG;0,00077700;0,00077810;6931,06000000;6940,83000000
10/08/2020;460;A;UAH;0,19520000;0,19560000;27,57000000;27,63000000
10/08/2020;470;A;JPY;0,05094000;0,05095000;105,85000000;105,86000000
10/08/2020;482;A;GEL;1,74860000;1,76020000;3,06400000;3,08400000
10/08/2020;490;A;ALL;0,05103000;0,05144000;104,85000000;105,68000000
10/08/2020;495;A;HNL;0,21700000;0,22000000;24,51300000;24,85000000
10/08/2020;500;A;SLL;0,00055030;0,00055540;9710,59000000;9800,00000000
10/08/2020;503;A;MDL;0,32280000;0,32950000;16,36720000;16,70660000
10/08/2020;506;A;RON;1,31090000;1,31290000;4,10800000;4,11370000
10/08/2020;510;A;BGN;3,24060000;3,24230000;1,66340000;1,66410000
10/08/2020;530;B;GIP;7,03750000;7,04360000;1,30500000;1,30600000
10/08/2020;535;A;EGP;0,33660000;0,33810000;15,95000000;16,02000000
10/08/2020;540;B;GBP;7,05420000;7,05550000;1,30810000;1,30820000
10/08/2020;545;B;FKP;7,04290000;7,05980000;1,30600000;1,30900000
10/08/2020;560;A;LBP;0,00355100;0,00358800;1502,99000000;1518,80000000
10/08/2020;570;B;SHP;7,04610000;7,05230000;1,30660000;1,30760000
10/08/2020;575;A;SYP;0,00428300;0,00429400;1256,00000000;1259,00000000
10/08/2020;585;A;SZL;0,30480000;0,30500000;17,68500000;17,69400000
10/08/2020;603;A;LSL;0,30470000;0,30510000;17,68000000;17,70000000
10/08/2020;608;A;TMT;1,54080000;1,54540000;3,49000000;3,50000000
10/08/2020;622;A;MZN;0,07595000;0,07666000;70,35000000;71,00000000
10/08/2020;625;A;ERN;0,35600000;0,35960000;15,00000000;15,15000000
10/08/2020;630;A;NGN;0,01412000;0,01416000;380,80000000;381,80000000
10/08/2020;635;A;AOA;0,00906300;0,00916900;588,21000000;595,03000000
10/08/2020;640;A;TWD;0,18340000;0,18360000;29,37800000;29,40800000
10/08/2020;642;A;TRY;0,74380000;0,74460000;7,24290000;7,25030000
10/08/2020;660;A;PEN;1,51430000;1,51510000;3,55980000;3,56130000
10/08/2020;665;A;BTN;0,07195000;0,07196000;74,94700000;74,95000000
10/08/2020;670;A;MRO;0,01502000;0,01515000;356,00000000;359,00000000
10/08/2020;671;A;MRU;0,13830000;0,14230000;37,90000000;39,00000000
10/08/2020;680;B;TOP;2,30210000;2,44800000;0,42690000;0,45390000
10/08/2020;685;A;MOP;0,67480000;0,67560000;7,98300000;7,99100000
10/08/2020;706;A;ARS;0,07392000;0,07394000;72,94000000;72,95000000
10/08/2020;715;A;CLP;0,00675700;0,00676100;797,77000000;798,07000000
10/08/2020;720;A;COP;0,00142900;0,00143100;3770,07000000;3774,07000000
10/08/2020;725;A;CUP;5,39270000;5,39330000;1,00000000;1,00000000
10/08/2020;730;A;DOP;0,09162000;0,09270000;58,18000000;58,86000000
10/08/2020;735;A;PHP;0,10980000;0,10990000;49,08200000;49,10200000
10/08/2020;741;A;MXN;0,23970000;0,23970000;22,49710000;22,49810000
10/08/2020;745;A;UYU;0,12640000;0,12650000;42,64000000;42,67000000
10/08/2020;755;B;BWP;0,45570000;0,45900000;0,08450000;0,08510000
10/08/2020;760;A;MWK;0,00723700;0,00735200;733,55000000;745,17000000
10/08/2020;766;A;ZMW;0,29220000;0,29430000;18,32600000;18,45800000
10/08/2020;770;A;GTQ;0,69940000;0,70130000;7,69000000;7,71000000
10/08/2020;775;A;MMK;0,00394200;0,00396600;1360,00000000;1368,00000000
10/08/2020;778;B;PGK;1,51270000;1,55330000;0,28050000;0,28800000
10/08/2020;779;A;HRK;0,84630000;0,84780000;6,36160000;6,37230000
10/08/2020;780;A;LAK;0,00059190;0,00059770;9022,92000000;9110,46000000
10/08/2020;785;A;ZAR;0,30480000;0,30500000;17,68420000;17,69010000
10/08/2020;795;A;CNY;0,77450000;0,77480000;6,96110000;6,96270000
10/08/2020;796;A;CNH;0,77470000;0,77480000;6,96090000;6,96110000
10/08/2020;800;A;QAR;1,47190000;1,47700000;3,65150000;3,66370000
10/08/2020;805;A;OMR;14,00340000;14,01220000;0,38490000;0,38510000
10/08/2020;810;A;YER;0,02146000;0,02166000;249,00000000;251,27000000
10/08/2020;815;A;IRR;0,00012840;0,00012840;42000,00000000;42000,00000000
10/08/2020;820;A;SAR;1,43750000;1,43860000;3,74890000;3,75140000
10/08/2020;825;A;KHR;0,00129600;0,00132800;4060,86200000;4160,66380000
10/08/2020;828;A;MYR;1,28460000;1,28630000;4,19300000;4,19800000
10/08/2020;830;A;RUB;0,07338000;0,07340000;73,47500000;73,49500000
10/08/2020;831;A;BYN;2,18720000;2,19530000;2,45670000;2,46560000
10/08/2020;835;A;TJS;0,52250000;0,52340000;10,30500000;10,32000000
10/08/2020;840;A;MUR;0,13520000;0,13620000;39,60000000;39,90000000
10/08/2020;845;A;NPR;0,04500000;0,04501000;119,83000000;119,84000000
10/08/2020;850;A;SCR;0,30130000;0,30370000;17,76000000;17,90000000
10/08/2020;855;A;LKR;0,02918000;0,02920000;184,70000000;184,80000000
10/08/2020;860;A;INR;0,07199000;0,07200000;74,91000000;74,91300000
10/08/2020;865;A;IDR;0,00036710;0,00036970;14590,00000000;14690,00000000
10/08/2020;870;A;MVR;0,34790000;0,34980000;15,42000000;15,50000000
10/08/2020;875;A;PKR;0,03191000;0,03210000;168,00000000;169,00000000
10/08/2020;880;A;ILS;1,58210000;1,58300000;3,40700000;3,40850000
10/08/2020;892;A;KGS;0,06961000;0,06966000;77,42020000;77,47450000
10/08/2020;893;A;UZS;0,00052550;0,00052860;10202,60000000;10262,60000000
10/08/2020;905;A;BDT;0,06345000;0,06373000;84,63000000;84,99000000
10/08/2020;912;B;WST;2,01310000;2,13200000;0,37330000;0,39530000
10/08/2020;913;A;KZT;0,01285000;0,01286000;419,32000000;419,64000000
10/08/2020;915;A;MNT;0,00186000;0,00192000;2809,00000000;2899,00000000
10/08/2020;920;A;VUV;0,04649000;0,04859000;111,00000000;116,00000000
10/08/2020;930;A;KRW;0,00454500;0,00454600;1186,28000000;1186,53000000
10/08/2020;946;A;TZS;0,00231500;0,00232500;2320,00000000;2330,00000000
10/08/2020;950;A;KES;0,04984000;0,04994000;108,00000000;108,20000000
10/08/2020;955;A;UGX;0,00146500;0,00147000;3670,00000000;3680,00000000
10/08/2020;960;A;SOS;0,00926600;0,00938000;575,00000000;582,00000000
10/08/2020;975;A;PLN;1,44070000;1,44140000;3,74170000;3,74300000
10/08/2020;978;B;EUR;6,33860000;6,34140000;1,17540000;1,17580000
10/08/2020;998;A;XAU;352,69460000;352,73380000;0,01529000;0,01529000
